name,lat,lng
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
PARKALA,13.353176,74.817392
